#gene	KO-hom	KO-het	DMG-hom	DMG-het	BEN-hom	BEN-het
ADI1	0	0	1	60	25	812
ADIG	0	0	0	0	2	84
ADIPOQ	0	0	2	63	14	377
ADIPOQ-AS1	0	0	0	0	34	595
ADIPOR1	0	0	0	2	13	276
ADIPOR2	0	0	1	19	35	553
ADIRF	0	0	0	0	3	66
ADK	0	0	0	4	15	213
ADM	0	0	3	67	1	58
ADM2	0	0	0	2	51	1365
ADM5	0	0	2	21	13	245
ADNP	0	0	1	53	29	396
ADNP2	0	1	0	69	4	168
ADO	0	0	0	3	10	412
ADORA1	0	0	0	37	16	513
ADORA2A	0	0	2	58	6	66
ADORA2A-AS1	0	0	0	0	182	4838
ADORA2B	0	0	4	122	11	477
ADORA3	0	0	10	239	12	303
ADPGK	11	85	7	214	3	160
ADPGK-AS1	0	0	0	0	33	1711
ADPRH	0	3	0	10	30	1017
ADPRHL1	0	1	1	106	27	614
ADPRHL2	0	1	0	7	30	243
ADPRM	0	0	1	41	22	163
ADRA1A	0	1	14	374	60	1338
ADRA1B	0	0	0	5	3	118
ADRA1D	0	0	0	44	18	275
ADRA2A	0	0	0	116	2	185
ADRA2B	0	1	2	62	46	524
ADRA2C	0	0	1	32	6	79
ADRB1	0	0	0	22	6	181
ADRB2	0	0	0	34	2	142
ADRB3	0	0	14	235	48	725
ADRBK1	0	0	0	11	39	420
ADRBK2	0	0	0	7	20	1017
ADRM1	0	15	2	115	3	412
ADSL	0	0	0	40	0	31
ADSS	0	0	0	42	2	108
ADSSL1	0	0	2	100	12	233
ADTRP	0	0	1	56	9	590
AEBP1	0	1	1	240	2	134
AEBP2	0	0	0	0	48	1053
AEN	0	2	11	295	39	1077
AES	0	0	0	2	50	838
AF007147	0	0	0	0	39	1108
AF020763	0	0	0	0	31	572
AF035281	2	122	22	314	30	450
AF047486	0	0	0	26	4	67
AF055024	0	0	0	0	32	469
AF063596	0	0	0	0	12	202
AF070569	0	0	0	0	23	219
AF070581	0	0	0	0	13	237
AF085962	0	0	0	0	69	511
AF085995	0	0	0	0	0	26
AF086102	0	0	0	0	0	15
AF086125	0	0	0	0	0	1
AF086126	0	0	0	0	3	516
AF086165	0	0	0	0	0	13
AF086184	0	0	0	0	1	114
AF086203	0	0	0	0	1	28
AF086219	0	0	0	0	0	1
AF086288	0	0	0	0	0	24
AF086346	0	0	0	0	3	113
AF086351	0	0	0	0	0	21
AF088041	0	0	0	0	0	13
AF090102	0	0	0	0	2	62
AF090939	0	0	0	0	10	264
AF116693	0	0	0	0	9	215
AF119915	0	0	0	0	1	88
AF131837	0	0	0	0	0	2
AF143870	0	0	0	0	1	75
AF143871	0	0	0	0	18	316
AF157115	0	0	0	0	6	197
AF161365	0	0	0	22	10	218
AF188711	0	0	0	0	24	575
AF198444	0	0	0	0	14	524
AF216583	0	0	0	0	1	21
AF258560	0	0	0	0	15	407
AF279780	0	0	0	0	0	1
AF289551	0	0	0	0	42	898
AF339801	0	0	0	0	37	615
AF339817	0	0	0	0	54	1564
AF401214	0	0	0	0	39	589
AF520792	0	0	0	0	0	18
AF520793	0	0	0	0	6	126
AFAP1	0	1	1	31	71	1502
AFAP1-AS1	0	0	0	0	95	2624
AFAP1L1	0	0	1	119	12	432
AFAP1L2	0	0	11	440	17	430
AFF1	0	0	3	182	93	1631
AFF2	0	0	0	20	102	975
AFF3	13	193	2	116	13	556
AFF4	0	0	1	55	19	660
AFG3L1P	0	0	3	161	585	11071
AFG3L2	0	0	0	8	2	52
AFM	0	1	3	161	0	68
AFMID	0	0	5	277	39	1254
AFP	0	1	13	147	10	211
AFTPH	0	0	0	82	4	132
AGA	0	0	1	67	1	161
AGAP1	0	0	0	35	98	1733
AGAP11	0	0	11	95	34	958
AGAP2	0	0	0	66	22	371
AGAP2-AS1	0	1	0	8	0	4
AGAP3	0	0	6	127	32	754
AGAP4	0	0	0	0	10	125
AGAP5	0	0	2	43	0	0
AGAP6	3	52	4	73	0	47
AGAP7	0	0	2	53	9	78
AGBL1	0	4	15	370	36	684
AGBL1-AS1	0	0	0	0	2	216
AGBL2	16	102	6	203	4	146
AGBL3	0	0	0	96	24	338
AGBL4	0	0	17	157	38	850
AGBL5	0	0	0	97	2	120
AGER	0	0	19	322	19	246
AGFG1	0	0	0	26	138	2770
AGFG2	0	0	8	189	24	687
AGGF1	0	0	0	55	10	503
AGK	0	0	0	21	22	439
AGL	0	1	16	438	11	440
AGMAT	0	0	0	28	33	729
AGMO	0	2	29	249	50	797
AGO1	0	0	0	3	17	383
AGO2	0	0	0	0	15	228
AGO3	0	0	0	1	4	161
AGO4	0	0	0	7	20	415
AGPAT1	0	0	0	7	13	334
AGPAT2	0	0	8	196	19	485
AGPAT3	0	1	2	68	63	1258
AGPAT4	0	0	5	113	85	1874
AGPAT4-IT1	0	15	1	21	11	175
AGPAT5	0	1	0	40	133	2429
AGPAT6	0	0	0	1	20	930
AGPAT9	0	1	0	83	1	68
AGPHD1	0	9	6	111	0	40
AGPS	0	0	0	3	17	788
AGR2	0	0	0	32	9	156
AGR3	0	0	0	6	4	131
AGRN	0	0	13	539	66	1099
AGRP	0	0	1	54	60	307
AGT	0	0	0	45	7	224
AGTPBP1	0	0	7	179	12	317
AGTR1	0	0	0	19	43	543
AGTR2	0	2	0	19	3	93
AGTRAP	0	0	0	139	12	129
AGXT	0	0	13	311	10	328
AGXT2	0	0	8	187	38	602
AGXT2L1	0	0	0	20	0	88
AGXT2L2	0	0	7	128	65	1610
AHCTF1	0	0	5	255	17	695
AHCY	0	0	0	43	1	113
AHCYL1	0	0	0	2	21	411
AHCYL2	0	0	0	5	6	441
AHDC1	0	0	1	131	28	635
AHI1	0	1	2	192	45	563
AHNAK	0	0	45	1673	44	1320
AHNAK2	0	4	268	4081	338	3755
AHR	0	0	2	88	6	473
AHRR	0	14	35	280	136	2211
AHSA1	0	0	0	12	21	474
AHSA2	0	21	4	99	10	464
AHSG	0	0	0	78	3	199
AHSP	0	0	1	32	1	16
AICDA	0	0	0	14	126	1064
AIDA	0	0	0	0	7	154
AIF1	0	0	15	182	1	109
AIF1L	0	0	0	61	25	540
AIFM1	0	0	0	10	7	80
AIFM2	0	2	27	276	118	1344
AIFM3	0	1	6	175	3	272
AIG1	0	0	0	5	49	1072
AIM1	1	19	20	346	17	707
AIM1L	0	0	25	604	10	299
AIM2	3	22	2	71	10	145
AIMP1	0	0	28	227	18	459
AIMP2	0	0	5	53	0	31
AIP	0	0	0	20	11	257
AIPL1	0	1	9	251	90	1802
AIRE	2	72	1	89	18	373
AIRN	0	0	0	0	59	1271
AJ011981	0	0	0	0	3	29
AJ276246	0	0	0	0	1	82
AJ297365	0	0	0	0	1	69
AJ420422	0	0	0	0	10	590
AJ420489	0	0	0	0	115	1040
AJ420595	0	0	0	0	3	231
AJ515158	0	0	0	0	8	218
AJ606316	0	0	0	0	66	656
AJ606328	0	0	0	0	13	321
AJ606330	0	0	0	0	53	332
AJAP1	0	0	1	70	23	487
AJUBA	0	0	0	16	5	314
AK000154	0	0	0	0	3	83
AK000798	0	0	0	0	10	330
AK000807	0	0	0	0	21	387
